label,ct_1,ct_2,ct_3,ct_4,dm4,re4,rx4,dm3,re3,rx3,dm2,re2,rx2,dm1,re1,rx1,raw_prob,order
1,0.498668045,0.36242375,0.75674117,0.90688753,0.7890164000000001,0.8749306,0.8915428,0.66096824,0.9202068000000001,0.9640631,0.7281928000000001,0.949765,0.953076,0.97377294,0.941783,0.9538769,0.6317736999999999,0
0,0.298113348,0.06301618,0.31380168,0.5218309,0.5652098000000001,0.68115157,0.72143245,0.39806297,0.80677056,0.8029357,0.5402853,0.80900115,0.8095319000000001,0.95760804,0.8526565999999999,0.8548245000000001,0.38207754,108
1,0.405354795,0.18270926,0.20631285,0.6492983,0.68071,0.7900274,0.80654645,0.39461148,0.82180315,0.88636166,0.6534538000000001,0.9352521999999999,0.9254566999999999,0.97331053,0.9178321,0.9375494000000001,0.5907114,107
1,0.440201268,0.38726392,0.80793124,0.856141,0.6588607,0.72352237,0.84835446,0.05000562,0.60702074,0.72387695,0.08277577,0.7614245,0.8565955,0.73987734,0.65673655,0.6541486,0.03799992,109
1,0.565788788,0.1832187,0.49373043,0.8599536,0.68371516,0.7311206,0.79258204,0.07462311,0.5677536,0.7323293000000001,0.22793743,0.6027962,0.84275347,0.919918,0.7366547,0.8197491,0.11109994,110
1,0.525178394,0.07750019400000001,0.30876329999999996,0.8627787,0.68351597,0.74503607,0.8326205,0.055946458,0.41621175,0.6806508000000001,0.13343474,0.698535,0.7862836,0.9179599,0.7221753000000001,0.7978111999999999,0.09565707,111
0,0.305891548,0.019269444,0.20648344,0.29053846,0.4178075,0.46224025,0.53585654,0.13542879,0.4238005,0.41919637,0.29365283,0.4916765,0.48139560000000003,0.9296136999999999,0.5621443,0.6770520000000001,0.18637896,112
0,0.35681171899999997,0.06498361,0.15140744,0.31284317,0.47873646,0.6161230999999999,0.6690206,0.33951458,0.7808451,0.81108516,0.574087,0.8803030999999999,0.8644947000000001,0.96155417,0.88054824,0.915121,0.46095875,113
1,0.462104589,0.06506014,0.7555268,0.9089179000000001,0.6802376,0.7750895999999999,0.82364845,0.48723748,0.836095,0.87240565,0.5046636,0.7484914,0.774328,0.9733359,0.8178386999999999,0.87741125,0.46707594,114
1,0.40362196899999997,0.062224273,0.45315024,0.8518505,0.6669366999999999,0.8029076,0.83594793,0.40666446,0.83215743,0.83490694,0.5301771,0.82320976,0.7969693,0.95902306,0.86724055,0.87375534,0.3814099,115
